date,range,count
2019-02,Under 5,1.757431113039705
2019-02,Over 10,3.0972011282273813
2019-02,Everything Else,95.14536775873292
2019-03,Under 5,1.357654763375757
2019-03,Over 10,1.7808600024712715
2019-03,Everything Else,96.86148523415297
2019-04,Under 5,2.1009784339999493
2019-04,Over 10,2.290597426238212
2019-04,Everything Else,95.60842413976184
2019-05,Under 5,5.183388298032297
2019-05,Over 10,9.874600294704344
2019-05,Everything Else,84.94201140726337
2019-06,Under 5,5.481533547646858
2019-06,Over 10,13.045905130086933
2019-06,Everything Else,81.47256132226622
2019-07,Under 5,2.5280408601952984
2019-07,Over 10,11.0638532413489
2019-07,Everything Else,86.4081058984558
2019-08,Under 5,2.3393900347382446
2019-08,Over 10,9.65966968195788
2019-08,Everything Else,88.00094028330388
2019-09,Under 5,4.457284358233594
2019-09,Over 10,63.76392901361948
2019-09,Everything Else,31.778786628146925
2019-10,Under 5,0
2019-10,Over 10,96.03815113719736
2019-10,Everything Else,3.9618488628026407
2019-11,Under 5,0
2019-11,Over 10,93.48837209302326
2019-11,Everything Else,6.511627906976744
2019-12,Under 5,0
2019-12,Over 10,92.96458030082484
2019-12,Everything Else,7.035419699175158
