location,count
"Goodwill Industries of SW Florida, Inc.",75288
Goodwill Industries of North Florida,67410
Goodwill Monocacy Valley,55891
Goodwill Industries of Northeastern Pennsylvania,39837
Goodwill Southern California,37836
Goodwill Industries of the Inland Northwest,31716
Horizon Goodwill Industries,31608
Goodwill Industries of St. Clair County (Goodwill SCC),30386
Goodwill Industries of Upstate/Midlands South Carolina - GREENVILLE,29954
Goodwill of Southern Nevada,22271
