us_state,date,Count,MedianPrice,DesignerCount
Carolina,2018-09,191,7.99,0.0
Carolina,2018-10,365,7.99,0.0
Carolina,2018-11,344,7.99,0.0
Carolina,2018-12,377,7.99,0.0
Carolina,2019-01,407,7.99,0.0
Carolina,2019-02,264,7.99,0.0
Carolina,2019-03,594,7.99,0.0
Carolina,2019-04,918,4.99,0.0
Carolina,2019-05,853,4.99,1.0
Carolina,2019-06,1337,4.99,0.0
Carolina,2019-07,938,4.99,0.0
Carolina,2019-08,917,4.99,0.0
Carolina,2019-09,311,7.99,0.0
Colorado,2014-07,7,9.99,0.0
Colorado,2014-08,3,11.99,0.0
Colorado,2014-09,5,9.99,0.0
Colorado,2014-10,12,9.99,0.0
Colorado,2014-11,3,9.99,0.0
Colorado,2014-12,2,9.99,0.0
Colorado,2015-01,7,5.99,0.0
Colorado,2015-02,2,8.49,1.0
Colorado,2015-04,4,8.99,0.0
Colorado,2015-05,1,9.99,0.0
Colorado,2015-07,1,11.99,0.0
Colorado,2015-08,6,9.99,0.0
Colorado,2015-09,1,5.99,0.0
Colorado,2015-10,8,5.99,0.0
Colorado,2015-11,2,11.495000000000001,0.0
Colorado,2015-12,1,23.22,0.0
Colorado,2016-01,7,7.99,1.0
Colorado,2016-02,1,16.39,0.0
Colorado,2016-03,2,46.995,0.0
Colorado,2016-04,3,7.99,0.0
Colorado,2016-05,1,7.99,0.0
Colorado,2016-06,1,22.0,0.0
Colorado,2016-07,6,9.99,0.0
Colorado,2016-09,1,8.99,0.0
Colorado,2016-10,3,7.99,0.0
Colorado,2016-11,5,7.99,0.0
Colorado,2016-12,6,7.99,0.0
Colorado,2017-01,6,7.99,0.0
Colorado,2017-02,18,9.99,0.0
Colorado,2017-03,14,7.99,0.0
Colorado,2017-04,6,7.99,0.0
Colorado,2017-05,2,12.495000000000001,0.0
Colorado,2017-06,10,7.99,0.0
Colorado,2017-07,3,7.99,0.0
Colorado,2017-08,5,7.99,0.0
Colorado,2017-10,1,16.0,0.0
Colorado,2017-11,3,7.99,0.0
Colorado,2017-12,10,9.99,0.0
Colorado,2018-01,7,7.99,0.0
Colorado,2018-02,16,7.99,0.0
Colorado,2018-03,26,7.99,0.0
Colorado,2018-04,78,7.99,3.0
Colorado,2018-05,77,7.99,0.0
Colorado,2018-06,40,7.99,0.0
Colorado,2018-07,19,7.99,0.0
Colorado,2018-08,48,7.99,0.0
Colorado,2018-09,54,7.99,0.0
Colorado,2018-10,96,7.99,0.0
Colorado,2018-11,83,7.99,0.0
Colorado,2018-12,132,7.99,0.0
Colorado,2019-01,135,7.99,1.0
Colorado,2019-02,145,7.99,1.0
Colorado,2019-03,94,7.99,0.0
Colorado,2019-04,134,7.99,0.0
Colorado,2019-05,200,7.99,0.0
Colorado,2019-06,113,7.99,0.0
Colorado,2019-07,251,7.99,0.0
Colorado,2019-08,421,7.99,0.0
Colorado,2019-09,79,7.99,0.0
Florida,2014-07,1639,7.99,7.0
Florida,2014-08,1722,7.99,7.0
Florida,2014-09,603,7.99,2.0
Florida,2014-10,1723,7.99,4.0
Florida,2014-11,1252,7.99,3.0
Florida,2014-12,1199,7.99,6.0
Florida,2015-01,1689,6.99,2.0
Florida,2015-02,1636,7.99,5.0
Florida,2015-03,1829,7.98,0.0
Florida,2015-04,1521,6.99,3.0
Florida,2015-05,1024,6.99,1.0
Florida,2015-06,1164,6.99,1.0
Florida,2015-07,1496,4.99,1.0
Florida,2015-08,1783,6.99,5.0
Florida,2015-09,1172,4.99,2.0
Florida,2015-10,761,7.99,2.0
Florida,2015-11,679,7.99,4.0
Florida,2015-12,767,7.99,7.0
Florida,2016-01,757,7.99,5.0
Florida,2016-02,525,7.99,4.0
Florida,2016-03,589,7.99,7.0
Florida,2016-04,962,6.99,5.0
Florida,2016-05,646,7.99,8.0
Florida,2016-06,803,7.99,3.0
Florida,2016-07,929,7.99,8.0
Florida,2016-08,632,7.99,5.0
Florida,2016-09,694,7.99,2.0
Florida,2016-10,1112,6.99,4.0
Florida,2016-11,668,6.99,6.0
Florida,2016-12,692,7.99,3.0
Florida,2017-01,559,7.99,2.0
Florida,2017-02,736,7.99,7.0
Florida,2017-03,547,7.99,2.0
Florida,2017-04,654,7.99,1.0
Florida,2017-05,827,7.99,4.0
Florida,2017-06,997,7.99,23.0
Florida,2017-07,1369,7.99,5.0
Florida,2017-08,1886,7.99,5.0
Florida,2017-09,1977,3.99,7.0
Florida,2017-10,1553,7.99,8.0
Florida,2017-11,1595,6.99,10.0
Florida,2017-12,1874,6.99,9.0
Florida,2018-01,1466,6.99,8.0
Florida,2018-02,1648,6.99,9.0
Florida,2018-03,1640,5.99,7.0
Florida,2018-04,773,7.99,8.0
Florida,2018-05,1376,6.99,9.0
Florida,2018-06,1761,6.99,8.0
Florida,2018-07,1797,6.99,10.0
Florida,2018-08,2768,5.99,18.0
Florida,2018-09,1790,6.99,9.0
Florida,2018-10,2639,6.99,11.0
Florida,2018-11,2059,5.99,2.0
Florida,2018-12,1631,5.99,5.0
Florida,2019-01,2042,6.99,4.0
Florida,2019-02,1626,7.99,6.0
Florida,2019-03,1854,7.99,9.0
Florida,2019-04,1654,6.99,11.0
Florida,2019-05,1811,6.99,4.0
Florida,2019-06,2049,5.99,8.0
Florida,2019-07,2126,6.99,8.0
Florida,2019-08,2547,6.99,9.0
Florida,2019-09,269,7.99,1.0
Florida,2019-10,1,6.99,0.0
Georgia,2018-01,5,9.99,0.0
Georgia,2018-02,18,9.99,0.0
Georgia,2018-03,16,9.99,0.0
Georgia,2018-04,85,9.99,0.0
Georgia,2018-05,52,7.99,0.0
Georgia,2018-06,1,9.99,0.0
Georgia,2018-08,10,9.99,0.0
Georgia,2018-09,3,12.99,0.0
Georgia,2018-11,1,12.99,0.0
Georgia,2018-12,4,11.49,0.0
Georgia,2019-01,4,8.99,0.0
Georgia,2019-02,3,7.99,0.0
Georgia,2019-03,1,7.99,0.0
Georgia,2019-04,1,12.98,0.0
Idaho,2014-07,1,7.99,0.0
Idaho,2014-10,7,7.99,0.0
Idaho,2014-12,6,7.99,0.0
Idaho,2015-01,7,12.0,0.0
Idaho,2015-03,7,7.99,0.0
Idaho,2015-04,2,7.99,0.0
Idaho,2015-05,1,7.99,0.0
Idaho,2015-07,5,7.99,0.0
Idaho,2015-08,4,9.49,0.0
Idaho,2015-09,6,7.99,0.0
Idaho,2015-11,7,15.5,0.0
Idaho,2015-12,9,9.99,0.0
Idaho,2016-01,16,7.99,0.0
Idaho,2016-02,8,7.99,0.0
Idaho,2016-03,11,9.0,0.0
Idaho,2016-04,8,13.0,0.0
Idaho,2016-05,8,7.99,0.0
Idaho,2016-06,5,7.99,0.0
Idaho,2016-07,8,7.99,0.0
Idaho,2016-08,8,7.99,0.0
Idaho,2016-09,6,7.99,0.0
Idaho,2016-10,4,7.99,0.0
Idaho,2016-11,2,10.99,0.0
Idaho,2016-12,1,7.99,0.0
Idaho,2017-01,5,7.99,0.0
Idaho,2017-02,7,7.99,0.0
Idaho,2017-03,3,8.99,0.0
Idaho,2017-04,9,7.99,0.0
Idaho,2017-05,5,7.99,0.0
Idaho,2017-06,6,7.99,0.0
Idaho,2017-07,10,7.99,0.0
Idaho,2017-08,23,7.99,0.0
Idaho,2017-09,10,7.99,0.0
Idaho,2017-10,19,7.99,0.0
Idaho,2017-11,31,7.99,0.0
Idaho,2017-12,11,7.99,0.0
Idaho,2018-01,17,7.99,0.0
Idaho,2018-02,9,7.99,0.0
Idaho,2018-03,12,7.99,0.0
Idaho,2018-04,10,7.99,0.0
Idaho,2018-05,3,7.99,0.0
Idaho,2018-06,18,9.99,0.0
Idaho,2018-07,6,9.99,0.0
Idaho,2018-08,3,9.99,0.0
Idaho,2018-09,2,9.99,0.0
Idaho,2018-10,3,9.99,0.0
Idaho,2018-11,1,9.99,0.0
Idaho,2019-01,3,9.99,0.0
Idaho,2019-02,5,9.99,0.0
Idaho,2019-03,8,9.99,0.0
Idaho,2019-04,3,9.99,0.0
Idaho,2019-05,1,12.0,0.0
Idaho,2019-06,6,9.99,0.0
Idaho,2019-07,1,12.0,0.0
Idaho,2019-08,13,9.99,0.0
Idaho,2019-09,1,9.99,0.0
Illinois,2014-07,62,5.0,0.0
Illinois,2014-08,39,4.0,0.0
Illinois,2014-09,12,4.0,0.0
Illinois,2014-10,47,4.0,0.0
Illinois,2014-11,52,4.0,0.0
Illinois,2014-12,48,4.0,0.0
Illinois,2015-01,36,4.0,1.0
Illinois,2015-02,29,5.0,0.0
Illinois,2015-03,36,5.995,0.0
Illinois,2015-04,83,6.99,0.0
Illinois,2015-05,72,6.99,0.0
Illinois,2015-06,63,6.99,0.0
Illinois,2015-07,42,6.99,0.0
Illinois,2015-08,56,6.99,0.0
Illinois,2015-09,42,6.99,0.0
Illinois,2015-10,47,6.99,0.0
Illinois,2015-11,41,6.99,1.0
Illinois,2015-12,80,6.99,0.0
Illinois,2016-01,100,9.99,0.0
Illinois,2016-02,74,9.99,0.0
Illinois,2016-03,73,9.99,0.0
Illinois,2016-04,158,6.99,0.0
Illinois,2016-05,83,6.99,0.0
Illinois,2016-06,61,6.99,0.0
Illinois,2016-07,26,6.99,0.0
Illinois,2016-08,18,6.99,0.0
Illinois,2016-09,25,6.99,0.0
Illinois,2016-10,20,6.99,0.0
Illinois,2016-11,36,9.99,0.0
Illinois,2016-12,40,9.99,0.0
Illinois,2017-01,25,9.99,0.0
Illinois,2017-02,14,6.99,0.0
Illinois,2017-03,11,6.99,0.0
Illinois,2017-04,18,6.99,0.0
Illinois,2017-05,49,6.99,0.0
Illinois,2017-06,37,6.99,0.0
Illinois,2017-07,100,6.99,0.0
Illinois,2017-08,131,6.99,0.0
Illinois,2017-09,107,6.99,0.0
Illinois,2017-10,90,6.99,0.0
Illinois,2017-11,74,6.99,0.0
Illinois,2017-12,49,6.99,0.0
Illinois,2018-01,23,6.99,0.0
Illinois,2018-02,16,9.99,0.0
Illinois,2018-03,17,9.99,0.0
Illinois,2018-04,9,9.99,0.0
Illinois,2018-05,17,9.99,0.0
Illinois,2018-06,25,9.99,0.0
Illinois,2018-07,46,8.99,0.0
Illinois,2018-08,65,9.99,0.0
Illinois,2018-09,10,9.99,0.0
Illinois,2018-10,15,9.99,0.0
Illinois,2018-11,26,9.99,1.0
Illinois,2018-12,44,9.99,0.0
Illinois,2019-01,19,7.99,0.0
Illinois,2019-02,10,9.99,0.0
Illinois,2019-03,5,9.99,0.0
Illinois,2019-04,11,9.99,2.0
Illinois,2019-05,17,7.99,0.0
Illinois,2019-06,17,9.99,0.0
Illinois,2019-07,13,9.99,0.0
Illinois,2019-08,4,6.495,0.0
Illinois,2019-10,1,14.99,0.0
Indiana,2014-07,107,7.0,0.0
Indiana,2014-08,109,5.0,0.0
Indiana,2014-09,54,9.0,0.0
Indiana,2014-10,105,5.0,0.0
Indiana,2014-11,147,5.0,0.0
Indiana,2014-12,128,6.495,0.0
Indiana,2015-01,156,5.0,0.0
Indiana,2015-02,173,5.0,1.0
Indiana,2015-03,165,5.0,0.0
Indiana,2015-04,169,5.0,0.0
Indiana,2015-05,121,7.0,2.0
Indiana,2015-06,81,7.0,0.0
Indiana,2015-07,91,5.0,2.0
Indiana,2015-08,132,5.0,2.0
Indiana,2015-09,158,5.0,0.0
Indiana,2015-10,142,8.99,0.0
Indiana,2015-11,190,8.99,1.0
Indiana,2015-12,144,7.0,0.0
Indiana,2016-01,349,8.99,4.0
Indiana,2016-02,315,8.99,0.0
Indiana,2016-03,283,8.99,0.0
Indiana,2016-04,213,8.99,0.0
Indiana,2016-05,235,8.99,2.0
Indiana,2016-06,400,8.99,0.0
Indiana,2016-07,353,8.99,1.0
Indiana,2016-08,219,8.99,0.0
Indiana,2016-09,145,8.99,0.0
Indiana,2016-10,128,8.99,1.0
Indiana,2016-11,144,8.99,0.0
Indiana,2016-12,238,8.99,0.0
Indiana,2017-01,248,8.99,2.0
Indiana,2017-02,534,8.99,0.0
Indiana,2017-03,322,8.99,1.0
Indiana,2017-04,455,8.99,2.0
Indiana,2017-05,546,8.99,0.0
Indiana,2017-06,495,8.99,0.0
Indiana,2017-07,540,8.99,0.0
Indiana,2017-08,300,8.99,1.0
Indiana,2017-09,188,6.0,1.0
Indiana,2017-10,150,6.0,0.0
Indiana,2017-11,274,8.99,0.0
Indiana,2017-12,578,8.99,0.0
Indiana,2018-01,508,8.99,1.0
Indiana,2018-02,259,8.99,0.0
Indiana,2018-03,479,8.99,0.0
Indiana,2018-04,343,8.99,0.0
Indiana,2018-05,288,8.99,1.0
Indiana,2018-06,467,8.99,0.0
Indiana,2018-07,497,8.99,0.0
Indiana,2018-08,465,9.99,0.0
Indiana,2018-09,489,8.99,0.0
Indiana,2018-10,430,8.99,0.0
Indiana,2018-11,268,8.99,0.0
Indiana,2018-12,263,8.99,0.0
Indiana,2019-01,290,8.99,0.0
Indiana,2019-02,361,8.99,0.0
Indiana,2019-03,461,8.99,0.0
Indiana,2019-04,438,8.99,0.0
Indiana,2019-05,506,8.99,0.0
Indiana,2019-06,547,8.99,1.0
Indiana,2019-07,461,8.99,1.0
Indiana,2019-08,413,8.99,0.0
Indiana,2019-09,31,8.99,0.0
Iowa,2014-07,38,8.245000000000001,0.0
Iowa,2014-08,34,6.99,0.0
Iowa,2014-09,18,6.0,0.0
Iowa,2014-10,84,8.0,0.0
Iowa,2014-11,158,6.99,0.0
Iowa,2014-12,191,4.98,0.0
Iowa,2015-01,146,8.0,0.0
Iowa,2015-02,168,10.0,0.0
Iowa,2015-03,92,4.99,0.0
Iowa,2015-04,73,5.0,0.0
Iowa,2015-05,23,4.99,0.0
Iowa,2015-06,22,5.0,0.0
Iowa,2015-07,11,5.75,0.0
Iowa,2015-08,13,6.99,0.0
Iowa,2015-09,20,6.99,0.0
Iowa,2015-10,19,7.99,0.0
Iowa,2015-11,24,5.99,0.0
Iowa,2015-12,46,4.99,0.0
Iowa,2016-01,32,4.99,0.0
Iowa,2016-02,9,8.99,0.0
Iowa,2016-03,28,6.49,0.0
Iowa,2016-04,39,5.0,0.0
Iowa,2016-05,33,4.99,0.0
Iowa,2016-06,37,4.99,0.0
Iowa,2016-07,13,7.0,0.0
Iowa,2016-08,40,6.99,0.0
Iowa,2016-09,28,5.0,0.0
Iowa,2016-10,37,6.99,0.0
Iowa,2016-11,19,6.99,0.0
Iowa,2016-12,27,4.99,0.0
Iowa,2017-01,53,5.99,0.0
Iowa,2017-02,52,6.99,0.0
Iowa,2017-03,28,6.99,0.0
Iowa,2017-04,21,6.99,0.0
Iowa,2017-05,41,6.99,0.0
Iowa,2017-06,102,9.99,0.0
Iowa,2017-07,55,5.75,0.0
Iowa,2017-08,36,6.99,0.0
Iowa,2017-09,21,6.99,0.0
Iowa,2017-10,20,6.99,0.0
Iowa,2017-11,53,6.99,0.0
Iowa,2017-12,93,6.99,0.0
Iowa,2018-01,76,6.99,0.0
Iowa,2018-02,111,6.99,0.0
Iowa,2018-03,109,6.99,0.0
Iowa,2018-04,50,6.99,0.0
Iowa,2018-05,28,6.99,0.0
Iowa,2018-06,121,6.99,0.0
Iowa,2018-07,155,6.99,0.0
Iowa,2018-08,160,6.99,0.0
